DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes
dec::v17::mastercard_transaction_amount::upi_transaction_amount::discovery,Mastercard.transaction_amount,UPI.txn_amount,discovery,HUMAN_REVIEW,cross-rail compatibility uncertain,QUEUE_HUMAN_REVIEW,payment_amount,payment:amount,payment:amount,transaction_amount,transaction_amount,0.9244891836421402,0.7842548104061147,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,
dec::v17::mastercard_transaction_amount::upi_transaction_timestamp::discovery,Mastercard.transaction_amount,UPI.txn_timestamp,discovery,REJECT_UNSAFE,schema-declared do_not_merge_with_families veto,REJECT_BY_NORMAL_FORM,payment_amount|transaction_timestamp,payment:amount,temporal:transaction_timestamp,transaction_amount,transaction_timestamp,0.2219494319710663,0.44366504372685617,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,schema-declared do_not_merge_with_families veto
dec::v17::mastercard_transaction_amount::upi_transaction_status::discovery,Mastercard.transaction_amount,UPI.txn_status,discovery,REJECT_UNSAFE,schema-declared do_not_merge_with_families veto,REJECT_BY_NORMAL_FORM,payment_amount|payment_status,payment:amount,payment:status,transaction_amount,transaction_status,0.26415634935208987,0.5642562362440663,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,schema-declared do_not_merge_with_families veto
dec::v17::plaid_account_identifier::plaid_account_number::discovery,Plaid.account_id,Plaid.account_number,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,account_identifier|bank_account_number,identifier:plaid_account,payment_account:account_number,plaid_account_identifier,bank_account_identifier,0.2970313212410653,0.6581847273554247,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,FAIL,PASS,
dec::v17::plaid_account_identifier::plaid_account_type::discovery,Plaid.account_id,Plaid.account_type,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,account_identifier|account_type,identifier:plaid_account,payment_account:account_type,plaid_account_identifier,account_classification,0.28281882924759955,0.617577607374094,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,FAIL,PASS,explicit negative pair hard veto
dec::v17::plaid_account_identifier::plaid_transaction_identifier::discovery,Plaid.account_id,Plaid.transaction_id,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,account_identifier|transaction_identifier,identifier:plaid_account,identifier:transaction,plaid_account_identifier,transaction_identifier,0.2651242294769874,0.5670216080294878,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,PASS,PASS,identifier subtypes must remain separate: identifier:plaid_account vs identifier:transaction; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto
dec::v17::plaid_account_identifier::stripe_customer_identifier::discovery,Plaid.account_id,Stripe.customer_id,discovery,REJECT_UNSAFE,identifier subtypes must remain separate: identifier:plaid_account vs identifier:customer,REJECT_BY_NORMAL_FORM,account_identifier|customer_identifier,identifier:plaid_account,identifier:customer,plaid_account_identifier,customer_object_identifier,0.2664488332420081,0.5708061902152611,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:plaid_account vs identifier:customer
dec::v17::plaid_account_identifier::upi_payer_account::discovery,Plaid.account_id,UPI.payer_account,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,account_identifier|payer_account,identifier:plaid_account,payment_account:payer_account,plaid_account_identifier,payer_account,0.24526919214763676,0.5102929299456288,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,
dec::v17::plaid_account_identifier::upi_transaction_identifier::discovery,Plaid.account_id,UPI.txn_id,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,account_identifier|transaction_identifier,identifier:plaid_account,identifier:upi_transaction,plaid_account_identifier,upi_transaction_identifier,0.24795329540447147,0.5179617963937281,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:plaid_account vs identifier:upi_transaction; explicit negative pair hard veto
dec::v17::plaid_routing_number::plaid_account_number::discovery,Plaid.routing_number,Plaid.account_number,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,routing_number|bank_account_number,payment_account:routing_number,payment_account:account_number,bank_routing_identifier,bank_account_identifier,0.3557633665333137,0.825990571047563,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,PASS,PASS,routing number must not merge with account number; account/card subtypes are ambiguous: payment_account:routing_number vs payment_account:account_number; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto
dec::v17::plaid_account_number::plaid_account_type::discovery,Plaid.account_number,Plaid.account_type,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:account_number vs payment_account:account_type,REJECT_BY_NORMAL_FORM,bank_account_number|account_type,payment_account:account_number,payment_account:account_type,bank_account_identifier,account_classification,0.3016126548688075,0.6712742520061168,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,PASS,PASS,account/card subtypes are ambiguous: payment_account:account_number vs payment_account:account_type
dec::v17::plaid_account_number::ppvisa_primary_account_number::discovery,Plaid.account_number,PPVisa.pan,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,bank_account_number|card_primary_account_number,payment_account:account_number,payment_card:pan,bank_account_identifier,card_account_identifier,0.35405042655640984,0.6306202663516473,0.6666666666666666,1,FAIL,DEFER,PASS,FAIL,FAIL,PASS,card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto
dec::v17::plaid_account_number::upi_payer_account::discovery,Plaid.account_number,UPI.payer_account,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:account_number vs payment_account:payer_account,REJECT_BY_NORMAL_FORM,bank_account_number|payer_account,payment_account:account_number,payment_account:payer_account,bank_account_identifier,payer_account,0.30346654935139067,0.6765710933849257,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:account_number vs payment_account:payer_account
