DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes,PromotionRule,AuditFlags,CMNFMatrixApplied
dec::v18::iso20022_creditor_account::plaid_account_type::discovery,ISO20022.cdtr_acct,Plaid.account_type,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type,REJECT_BY_NORMAL_FORM,creditor_account|account_type,payment_account:creditor_account,payment_account:account_type,creditor_account,account_classification,0.22745716787746234,0.4594014320308448,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type,,,
dec::v18::plaid_account_identifier::plaid_account_number::discovery,Plaid.account_id,Plaid.account_number,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,account_identifier|bank_account_number,identifier:plaid_account,payment_account:account_number,plaid_account_identifier,bank_account_identifier,0.3343150710713198,0.7647097268704376,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,FAIL,PASS,,,,
dec::v18::plaid_account_identifier::plaid_account_type::discovery,Plaid.account_id,Plaid.account_type,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,account_identifier|account_type,identifier:plaid_account,payment_account:account_type,plaid_account_identifier,account_classification,0.32751732764582675,0.7452876027976003,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,FAIL,PASS,explicit negative pair hard veto,,,
dec::v18::plaid_account_identifier::plaid_transaction_identifier::discovery,Plaid.account_id,Plaid.transaction_id,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,account_identifier|payment_identifier,identifier:plaid_account,identifier:transaction,plaid_account_identifier,transaction_identifier,0.31460088004775555,0.7083834668031112,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,PASS,PASS,identifier subtypes must remain separate: identifier:plaid_account vs identifier:transaction; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::plaid_account_identifier::stripe_customer_identifier::discovery,Plaid.account_id,Stripe.customer_id,discovery,REJECT_UNSAFE,identifier subtypes must remain separate: identifier:plaid_account vs identifier:customer,REJECT_BY_NORMAL_FORM,account_identifier|customer_identifier,identifier:plaid_account,identifier:customer,plaid_account_identifier,customer_object_identifier,0.21942000822377195,0.4364381187345866,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:plaid_account vs identifier:customer,,,
dec::v18::plaid_account_identifier::upi_payer_account::discovery,Plaid.account_id,UPI.payer_account,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,account_identifier|payer_account,identifier:plaid_account,payment_account:payer_account,plaid_account_identifier,payer_account,0.21337170283588314,0.4191572461977614,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,,,,
dec::v18::plaid_account_identifier::upi_transaction_identifier::discovery,Plaid.account_id,UPI.txn_id,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,account_identifier|payment_identifier,identifier:plaid_account,identifier:upi_transaction,plaid_account_identifier,upi_transaction_identifier,0.20384407684150158,0.3919354576423854,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:plaid_account vs identifier:upi_transaction; explicit negative pair hard veto,,,
dec::v18::plaid_account_identifier::iso20022_debtor_account::discovery,Plaid.account_id,ISO20022.dbtr_acct,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,account_identifier|debtor_account,identifier:plaid_account,payment_account:debtor_account,plaid_account_identifier,debtor_account,0.1955884193338071,0.36834786476325837,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,,,,
dec::v18::plaid_routing_number::plaid_account_number::discovery,Plaid.routing_number,Plaid.account_number,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,routing_number|bank_account_number,payment_account:routing_number,payment_account:account_number,bank_routing_identifier,bank_account_identifier,0.3693889579477667,0.8649208322317146,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,PASS,PASS,routing number must not merge with account number; account/card subtypes are ambiguous: payment_account:routing_number vs payment_account:account_number; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::plaid_account_number::plaid_account_type::discovery,Plaid.account_number,Plaid.account_type,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:account_number vs payment_account:account_type,REJECT_BY_NORMAL_FORM,bank_account_number|account_type,payment_account:account_number,payment_account:account_type,bank_account_identifier,account_classification,0.3690629420724745,0.863989358302308,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,PASS,PASS,account/card subtypes are ambiguous: payment_account:account_number vs payment_account:account_type,,,
dec::v18::plaid_account_number::upi_payer_account::discovery,Plaid.account_number,UPI.payer_account,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:account_number vs payment_account:payer_account,REJECT_BY_NORMAL_FORM,bank_account_number|payer_account,payment_account:account_number,payment_account:payer_account,bank_account_identifier,payer_account,0.27341349574184015,0.5907052259290672,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:account_number vs payment_account:payer_account,,,
dec::v18::plaid_account_type::upi_payer_account::discovery,Plaid.account_type,UPI.payer_account,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:account_type vs payment_account:payer_account,REJECT_BY_NORMAL_FORM,account_type|payer_account,payment_account:account_type,payment_account:payer_account,account_classification,payer_account,0.28205254844315364,0.6153882336471057,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:account_type vs payment_account:payer_account,,,
dec::v18::plaid_transaction_identifier::plaid_transaction_amount::discovery,Plaid.transaction_id,Plaid.transaction_amount,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,payment_identifier|payment_amount,identifier:transaction,payment:amount,transaction_identifier,transaction_amount,0.2956718721842233,0.6543005871930191,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,FAIL,PASS,identifier must not merge with payment/temporal,,,
dec::v18::plaid_transaction_identifier::plaid_transaction_date::discovery,Plaid.transaction_id,Plaid.transaction_date,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,payment_identifier|transaction_date,identifier:transaction,temporal:transaction_date,transaction_identifier,posted_transaction_date,0.29182285074720093,0.6433033830872409,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,FAIL,PASS,identifier must not merge with payment/temporal,,,
dec::v18::plaid_transaction_identifier::upi_transaction_timestamp::discovery,Plaid.transaction_id,UPI.txn_timestamp,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,payment_identifier|transaction_timestamp,identifier:transaction,temporal:transaction_timestamp,transaction_identifier,transaction_timestamp,0.22229285756266515,0.44464625970285276,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,identifier must not merge with payment/temporal,,,
dec::v18::plaid_transaction_identifier::stripe_customer_identifier::discovery,Plaid.transaction_id,Stripe.customer_id,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,payment_identifier|customer_identifier,identifier:transaction,identifier:customer,transaction_identifier,customer_object_identifier,0.2070202624271642,0.40101027360142155,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:transaction vs identifier:customer; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::plaid_transaction_identifier::upi_transaction_amount::discovery,Plaid.transaction_id,UPI.txn_amount,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,payment_identifier|payment_amount,identifier:transaction,payment:amount,transaction_identifier,transaction_amount,0.19161255351750528,0.35698824814525326,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,identifier must not merge with payment/temporal,,,
dec::v18::plaid_transaction_identifier::upi_transaction_status::discovery,Plaid.transaction_id,UPI.txn_status,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,payment_identifier|payment_status,identifier:transaction,payment:status,transaction_identifier,transaction_status,0.19140721663566876,0.356401571340006,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,identifier must not merge with payment/temporal,,,
