mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,bridge_rule_applied,bridge_rule_name,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,is_in_true_pairs,is_in_negative_pairs,error_class,semantic_family,suggested_negative_pair
no_ecnf,tags,card_brand,card brand,tags,card brand <-> tags,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.6593589186668396,0.0,,,False,1.0,mixed,mixed,True,False,0.9889467358589172,0.0,0.5615329146385193,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000556,True,False,False,FP,metadata,card brand; tags
no_ecnf,tags,created,created,tags,created <-> tags,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.7804097533226013,0.0,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9958658218383789,0.0,0.5113370656967163,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000557,True,False,False,FP,timestamp_or_created,created; tags
no_ecnf,tags,payer_account,payer account,tags,payer account <-> tags,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.6531923413276672,0.0,,payment:account,False,1.0,mixed,"^[0-9]{6,19}$",False,False,0.9970070719718933,0.0,0.4606783509254456,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000558,True,False,False,FP,account,payer account; tags
no_ecnf,msg_id,created_at,created at,msg identifier,created at <-> msg identifier,ISO20022.json,Razorpay.json,Payments Risk,Payments Risk,0.6584873199462891,0.0,,,False,0.16666666666666666,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.997480034828186,0.0,0.4628909349441529,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000562,True,False,False,FP,identifier,created at; msg identifier
no_ecnf,end_to_end_id,created_at,created at,end to end identifier,created at <-> end to end identifier,ISO20022.json,Razorpay.json,Payments Risk,Payments Risk,0.6547585129737854,0.0,,,False,0.16666666666666666,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9981968998908997,0.0,0.4615427851676941,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000563,True,False,False,FP,identifier,created at; end to end identifier
no_ecnf,processing_code,created_at,created at,processing code,created at <-> processing code,Mastercard.json,Razorpay.json,Payments Risk,Payments Risk,0.6544919013977051,0.0,,,False,0.16666666666666666,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9976918697357178,0.0,0.5613351345062256,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000572,True,False,False,FP,timestamp_or_created,created at; processing code
no_ecnf,created_at,txn_amount,created at,transaction amount,created at <-> transaction amount,Razorpay.json,UPI.json,Payments Risk,Payments Risk,0.6714802980422974,0.0,,payment:amount,False,0.047619047619047616,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9961890578269958,0.0,0.5678299307823181,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000573,True,False,False,FP,amount,created at; transaction amount
no_ecnf,account_id,created_at,account identifier,created at,account identifier <-> created at,Plaid.json,Razorpay.json,Payments Risk,Payments Risk,0.7102874517440796,0.0,payment:account,,False,0.16666666666666666,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9894580245018005,0.0,0.482006585597992,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000578,True,False,False,FP,account,account identifier; created at
no_ecnf,routing_number,created_at,created at,routing number,created at <-> routing number,Plaid.json,Razorpay.json,Payments Risk,Payments Risk,0.6658985018730164,0.0,payment:account,,False,1.0,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9999396204948425,0.0,0.5663473248481751,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000579,True,False,False,FP,account,created at; routing number
no_ecnf,account_number,created_at,account number,created at,account number <-> created at,Plaid.json,Razorpay.json,Payments Risk,Payments Risk,0.6990393400192261,0.0,payment:account,,False,0.0625,"^[0-9]{6,19}$",^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9602189064025879,0.75,0.546659517288208,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000580,True,False,False,FP,account,account number; created at
no_ecnf,account_type,created_at,account type,created at,account type <-> created at,Plaid.json,Razorpay.json,Payments Risk,Payments Risk,0.7403080463409424,0.0,payment:account,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9940194487571716,0.0,0.4949271082878113,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000581,True,False,False,FP,account,account type; created at
no_ecnf,balance_current,created_at,balance current,created at,balance current <-> created at,Plaid.json,Razorpay.json,Payments Risk,Payments Risk,0.7007017135620117,0.0,,,False,1.0,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9997420310974121,0.0,0.5802290916442872,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000582,True,False,False,FP,timestamp_or_created,balance current; created at
no_ecnf,transaction_date,created_at,created at,transaction date,created at <-> transaction date,Plaid.json,Razorpay.json,Payments Risk,Payments Risk,0.6758354306221008,0.0,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9982162714004517,0.0,0.46997742652893065,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000584,True,False,False,FP,timestamp_or_created,created at; transaction date
no_ecnf,created_at,amount,amount,created at,amount <-> created at,Razorpay.json,Stripe.json,Payments Risk,Payments Risk,0.6760638952255249,0.0,,payment:amount,False,0.0625,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9712151885032654,0.0,0.564668595790863,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000591,True,False,False,FP,amount,amount; created at
no_ecnf,method,created_at,created at,method,created at <-> method,Razorpay.json,Razorpay.json,Payments Risk,Payments Risk,0.6828996539115906,0.0,,,False,0.16666666666666666,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.8666671514511108,0.0,0.4464932918548584,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000592,True,False,False,FP,method,created at; method
no_ecnf,contact,created_at,contact,created at,contact <-> created at,Razorpay.json,Razorpay.json,Payments Risk,Payments Risk,0.6884894371032715,0.0,,,False,1.0,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9996814727783203,0.0,0.5753320693969727,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000595,True,False,False,FP,timestamp_or_created,contact; created at
no_ecnf,created_at,payment_intent_id,created at,payment intent identifier,created at <-> payment intent identifier,Razorpay.json,Stripe.json,Payments Risk,Payments Risk,0.6776306629180908,0.0,,,False,1.0,^[+-]?[0-9]+(\.[0-9]+)?$,mixed,False,False,0.9960162043571472,0.0,0.47025550603866584,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000598,True,False,False,FP,identifier,created at; payment intent identifier
no_ecnf,created_at,customer_id,created at,customer identifier,created at <-> customer identifier,Razorpay.json,Stripe.json,Payments Risk,Payments Risk,0.6741946339607239,0.0,,,False,1.0,^[+-]?[0-9]+(\.[0-9]+)?$,mixed,False,False,0.9969261288642883,0.0,0.46906307935714725,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000599,True,False,False,FP,identifier,created at; customer identifier
