mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,CMNF_basis,bridge_rule_applied,bridge_rule_name,bridge_blocked_reason,bridge_safety_status,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,would_have_accepted_without_veto,veto_reason,is_in_true_pairs,is_in_negative_pairs,error_class,semantic_family
embed_only_baseline,schema_id,pattern,pattern,schema identifier,pattern <-> schema identifier,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.7907117605209351,0.0,identifier,,False,0.3333333333333333,mixed,mixed,True,False,0.9480370283126831,0.0,0.6058921098709107,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000117,True,True,,False,False,FP,identifier|
embed_only_baseline,schema_id,description,description,schema identifier,description <-> schema identifier,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8275256752967834,0.0,identifier,text:description,False,0.16666666666666666,mixed,mixed,True,False,0.9770333170890808,0.0,0.6264169335365296,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000118,True,True,,False,False,FP,identifier|text:description
embed_only_baseline,schema_id,tags,schema identifier,tags,schema identifier <-> tags,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.7884600758552551,0.0,identifier,,False,0.5,mixed,mixed,True,False,0.9989888668060303,0.0,0.6151818037033081,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000119,True,True,,False,False,FP,identifier|
embed_only_baseline,schema_id,created_at,created at,schema identifier,created at <-> schema identifier,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8125050067901611,0.0,identifier,,False,1.0,mixed,mixed,True,False,0.9981979727745056,0.0,0.6246415972709656,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000120,True,True,,False,False,FP,identifier|
embed_only_baseline,schema_id,msg_id,msg identifier,schema identifier,msg identifier <-> schema identifier,INAmex.json,ISO20022.json,Payments Risk,Payments Risk,0.6617345213890076,0.3333333333333333,identifier,identifier,True,0.16666666666666666,mixed,mixed,True,False,0.9990897178649902,0.0,0.7311784187952678,4,PASS,PASS,PASS,cosine >= tau_aanf,signal_count >= m_min and aggregate >= gamma,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000121,True,True,,False,False,FP,identifier|identifier
embed_only_baseline,schema_id,end_to_end_id,end to end identifier,schema identifier,end to end identifier <-> schema identifier,INAmex.json,ISO20022.json,Payments Risk,Payments Risk,0.6583420038223267,0.25,identifier,identifier,True,0.16666666666666666,mixed,mixed,True,False,0.9984608292579651,0.0,0.7130289673805237,4,PASS,PASS,PASS,cosine >= tau_aanf,signal_count >= m_min and aggregate >= gamma,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000122,True,True,,False,False,FP,identifier|identifier
embed_only_baseline,schema_id,reqd_exctn_dt,reqd exctn dt,schema identifier,reqd exctn dt <-> schema identifier,INAmex.json,ISO20022.json,Payments Risk,Payments Risk,0.651904284954071,0.0,identifier,,False,0.16666666666666666,mixed,mixed,True,False,0.9979842901229858,0.0,0.5603585720062256,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000129,True,True,,False,False,FP,identifier|
embed_only_baseline,schema_id,payer_account,payer account,schema identifier,payer account <-> schema identifier,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.6678881645202637,0.0,identifier,payment:account,False,1.0,mixed,"^[0-9]{6,19}$",False,False,0.9966521859169006,0.0,0.4664857029914856,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000162,True,True,,False,False,FP,identifier|payment:account
embed_only_baseline,entity,version,entity,version,entity <-> version,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8608617186546326,0.0,,,False,1.0,mixed,mixed,True,False,0.9932127594947815,0.0,0.6429872393608094,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000166,True,True,,False,False,FP,|
embed_only_baseline,entity,name,entity,name,entity <-> name,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9139857888221741,0.0,,party:name,False,0.25,mixed,mixed,True,False,0.9808642268180847,0.0,0.6617671608924867,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000167,True,True,,False,False,FP,|party:name
