fn_id,source_field,target_field,semantic_score,context_signature,model_reason,human_decision (ACCEPT/REJECT/HOLD),human_comments,record_type,DecisionType,CanonicalNode,Track,EvidenceScore,EmbeddingSimilarity,NameSimilarity,HardVetoes,PromotionRule,AuditFlags,ExpectedSchemaTruth(bool)
TP_0047,Plaid.transaction_amount,Stripe.amount,0.79571660303729,,"cmnf_canonical_safe:score=0.7957,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.79571660303729,0.7020474372493999,0.5,,cmnf_canonical_safe_promotion,,True
TP_0048,Plaid.transaction_amount,Stripe.amount,0.79571660303729,,"cmnf_canonical_safe:score=0.7957,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.79571660303729,0.7020474372493999,0.5,,cmnf_canonical_safe_promotion,,True
TP_0049,Plaid.transaction_amount,UPI.txn_amount,0.8789564477351572,,"cmnf_canonical_safe:score=0.8790,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.8789564477351572,0.6541612792433064,1.0,,cmnf_canonical_safe_promotion,,True
TP_0050,Plaid.transaction_amount,UPI.txn_amount,0.8789564477351572,,"cmnf_canonical_safe:score=0.8790,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.8789564477351572,0.6541612792433064,1.0,,cmnf_canonical_safe_promotion,,True
TP_0051,Plaid.transaction_id,UPI.txn_id,0.6732067887338066,,alias_hit_promotion:score=0.6732,,,TP,ACCEPT_MERGE,transaction_identifier,discovery,0.6732067887338066,0.6377336820965902,1.0,,alias_overlap_promotion,,True
TP_0052,Plaid.transaction_id,UPI.txn_id,0.6732067887338066,,alias_hit_promotion:score=0.6732,,,TP,ACCEPT_MERGE,transaction_identifier,production,0.6732067887338066,0.6377336820965902,1.0,,alias_overlap_promotion,,True
TP_0053,Razorpay.amount,Stripe.amount,0.840910034265278,,"cmnf_canonical_safe:score=0.8409,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.840910034265278,0.6883143836150799,1.0,,cmnf_canonical_safe_promotion,,True
TP_0054,Razorpay.amount,Stripe.amount,0.840910034265278,,"cmnf_canonical_safe:score=0.8409,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.840910034265278,0.6883143836150799,1.0,,cmnf_canonical_safe_promotion,,True
TP_0055,Razorpay.amount,UPI.txn_amount,0.7468109435755529,,"cmnf_canonical_safe:score=0.7468,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.7468109435755529,0.5623169816444367,0.5,,cmnf_canonical_safe_promotion,,True
TP_0056,Razorpay.amount,UPI.txn_amount,0.7468109435755529,,"cmnf_canonical_safe:score=0.7468,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.7468109435755529,0.5623169816444367,0.5,,cmnf_canonical_safe_promotion,,True
TP_0057,Razorpay.created_at,Stripe.created,0.7859401537144163,,"same_canon_same_family:score=0.7859,tau=0.72",,,TP,ACCEPT_MERGE,created_at,discovery,0.7859401537144163,0.6741147248983322,0.5,,same_canonical_same_family_promotion,,True
TP_0058,Razorpay.created_at,Stripe.created,0.7859401537144163,,"same_canon_same_family:score=0.7859,tau=0.72",,,TP,ACCEPT_MERGE,created_at,production,0.7859401537144163,0.6741147248983322,0.5,,same_canonical_same_family_promotion,,True
TP_0059,Razorpay.currency,Stripe.currency,0.859954461000819,,"same_canon_same_family:score=0.8600,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,discovery,0.859954461000819,0.7427270314309113,1.0,,same_canonical_same_family_promotion,,True
TP_0060,Razorpay.currency,Stripe.currency,0.859954461000819,,"same_canon_same_family:score=0.8600,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,production,0.859954461000819,0.7427270314309113,1.0,,same_canonical_same_family_promotion,,True
TP_0061,Razorpay.currency,UPI.currency,0.8164059954712348,,"same_canon_same_family:score=0.8164,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,discovery,0.8164059954712348,0.6183028442035279,1.0,,same_canonical_same_family_promotion,,True
TP_0062,Razorpay.currency,UPI.currency,0.8164059954712348,,"same_canon_same_family:score=0.8164,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,production,0.8164059954712348,0.6183028442035279,1.0,,same_canonical_same_family_promotion,,True
TP_0063,Razorpay.method,Stripe.payment_method,0.7701546694217979,,"same_canon_same_family:score=0.7702,tau=0.72",,,TP,ACCEPT_MERGE,payment_method,discovery,0.7701546694217979,0.6290133412051367,0.5,,same_canonical_same_family_promotion,,True
TP_0064,Razorpay.method,Stripe.payment_method,0.7701546694217979,,"same_canon_same_family:score=0.7702,tau=0.72",,,TP,ACCEPT_MERGE,payment_method,production,0.7701546694217979,0.6290133412051367,0.5,,same_canonical_same_family_promotion,,True
TP_0065,Razorpay.status,Stripe.status,0.84485111584234,,"cmnf_canonical_safe:score=0.8449,min_ev=0.8",,,TP,ACCEPT_MERGE,payment_status,discovery,0.84485111584234,0.6995746166923997,1.0,,cmnf_canonical_safe_promotion,,True
TP_0066,Razorpay.status,Stripe.status,0.84485111584234,,"cmnf_canonical_safe:score=0.8449,min_ev=0.8",,,TP,ACCEPT_MERGE,payment_status,production,0.84485111584234,0.6995746166923997,1.0,,cmnf_canonical_safe_promotion,,True
TP_0067,Razorpay.status,UPI.txn_status,0.7586000121438681,,"same_canon_same_family:score=0.7586,tau=0.72",,,TP,ACCEPT_MERGE,payment_status,discovery,0.7586000121438681,0.5960000346967658,0.5,,same_canonical_same_family_promotion,,True
TP_0068,Razorpay.status,UPI.txn_status,0.7586000121438681,,"same_canon_same_family:score=0.7586,tau=0.72",,,TP,ACCEPT_MERGE,payment_status,production,0.7586000121438681,0.5960000346967658,0.5,,same_canonical_same_family_promotion,,True
TP_0069,Razorpay.vpa,UPI.vpa,0.9138618257105892,,"same_canon_same_family:score=0.9139,tau=0.72",,,TP,ACCEPT_MERGE,virtual_payment_address,discovery,0.9138618257105892,0.7538909306016831,1.0,,same_canonical_same_family_promotion,,True
TP_0070,Razorpay.vpa,UPI.vpa,0.9138618257105892,,"same_canon_same_family:score=0.9139,tau=0.72",,,TP,ACCEPT_MERGE,virtual_payment_address,production,0.9138618257105892,0.7538909306016831,1.0,,same_canonical_same_family_promotion,,True
TP_0071,Stripe.amount,UPI.txn_amount,0.7701817011742366,,"cmnf_canonical_safe:score=0.7702,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.7701817011742366,0.629090574783533,0.5,,cmnf_canonical_safe_promotion,,True
TP_0072,Stripe.amount,UPI.txn_amount,0.7701817011742366,,"cmnf_canonical_safe:score=0.7702,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.7701817011742366,0.629090574783533,0.5,,cmnf_canonical_safe_promotion,,True
TP_0073,Stripe.currency,UPI.currency,0.8240546285667711,,"same_canon_same_family:score=0.8241,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,discovery,0.8240546285667711,0.6401560816193459,1.0,,same_canonical_same_family_promotion,,True
TP_0074,Stripe.currency,UPI.currency,0.8240546285667711,,"same_canon_same_family:score=0.8241,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,production,0.8240546285667711,0.6401560816193459,1.0,,same_canonical_same_family_promotion,,True
TP_0075,Stripe.status,UPI.txn_status,0.7875952247731279,,"same_canon_same_family:score=0.7876,tau=0.72",,,TP,ACCEPT_MERGE,payment_status,discovery,0.7875952247731279,0.678843499351794,0.5,,same_canonical_same_family_promotion,,True
TP_0076,Stripe.status,UPI.txn_status,0.7875952247731279,,"same_canon_same_family:score=0.7876,tau=0.72",,,TP,ACCEPT_MERGE,payment_status,production,0.7875952247731279,0.678843499351794,0.5,,same_canonical_same_family_promotion,,True
TN_0001,INAmex.ExpirationDate,Plaid.transaction_date,0.19880181454674534,card_expiration_date|transaction_date,insufficient evidence,,,TN,DEFER,card_expiration_date|transaction_date,discovery,0.19880181454674534,0.377528993943082,0.3333333333333333,,,,False
TN_0002,INAmex.ExpirationDate,Plaid.transaction_date,0.19880181454674534,card_expiration_date|transaction_date,insufficient evidence,,,TN,DEFER,card_expiration_date|transaction_date,production,0.19880181454674534,0.377528993943082,0.3333333333333333,,,,False
TN_0003,INAmex.PrimaryAccountNumber,Plaid.account_number,0.3718692311840456,card_primary_account_number|bank_account_number,Vetoes: card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto | explicit negative pair hard veto,,,TN,REJECT_UNSAFE,card_primary_account_number|bank_account_number,discovery,0.3718692311840456,0.5386739938591779,0.6666666666666666,card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,False
TN_0004,INAmex.PrimaryAccountNumber,Plaid.account_number,0.3718692311840456,card_primary_account_number|bank_account_number,Vetoes: card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto | explicit negative pair hard veto,,,TN,REJECT_UNSAFE,card_primary_account_number|bank_account_number,production,0.3718692311840456,0.5386739938591779,0.6666666666666666,card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,False
TN_0005,ISO20022.cdtr_acct,Plaid.account_number,0.2268920763706262,creditor_account|bank_account_number,Vetoes: account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number | account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number,,,TN,REJECT_UNSAFE,creditor_account|bank_account_number,discovery,0.2268920763706262,0.45778688486845587,0.3333333333333333,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number,,,False
TN_0006,ISO20022.cdtr_acct,Plaid.account_number,0.2268920763706262,creditor_account|bank_account_number,Vetoes: account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number | account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number,,,TN,REJECT_UNSAFE,creditor_account|bank_account_number,production,0.2268920763706262,0.45778688486845587,0.3333333333333333,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number,,,False
TN_0007,ISO20022.cdtr_acct,Plaid.account_type,0.233566100431635,creditor_account|account_type,Vetoes: account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type | account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type,,,TN,REJECT_UNSAFE,creditor_account|account_type,discovery,0.233566100431635,0.4768555250427667,0.3333333333333333,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type,,,False
TN_0008,ISO20022.cdtr_acct,Plaid.account_type,0.233566100431635,creditor_account|account_type,Vetoes: account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type | account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type,,,TN,REJECT_UNSAFE,creditor_account|account_type,production,0.233566100431635,0.4768555250427667,0.3333333333333333,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type,,,False
TN_0009,ISO20022.cdtr_acct,UPI.payer_account,0.23676294771222756,creditor_account|payer_account,Vetoes: account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:payer_account; schema-declared do_not_merge_with_families veto | explicit negative pair hard veto,,,TN,REJECT_UNSAFE,creditor_account|payer_account,discovery,0.23676294771222756,0.4859893744158883,0.3333333333333333,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:payer_account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,False
TN_0010,ISO20022.cdtr_acct,UPI.payer_account,0.23676294771222756,creditor_account|payer_account,Vetoes: account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:payer_account; schema-declared do_not_merge_with_families veto | explicit negative pair hard veto,,,TN,REJECT_UNSAFE,creditor_account|payer_account,production,0.23676294771222756,0.4859893744158883,0.3333333333333333,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:payer_account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,False
TN_0011,ISO20022.cdtr_nm,ISO20022.cdtr_acct,0.3464794349564954,creditor_name|creditor_account,insufficient evidence,,,TN,DEFER,creditor_name|creditor_account,discovery,0.3464794349564954,0.7994650522566537,0.3333333333333333,,,,False
TN_0012,ISO20022.cdtr_nm,ISO20022.cdtr_acct,0.3464794349564954,creditor_name|creditor_account,insufficient evidence,,,TN,DEFER,creditor_name|creditor_account,production,0.3464794349564954,0.7994650522566537,0.3333333333333333,,,,False
TN_0013,ISO20022.dbtr_acct,ISO20022.cdtr_acct,0.38518844987236117,debtor_account|creditor_account,Vetoes: account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:creditor_account; role conflict: debtor vs creditor | explicit negative pair hard veto,,,TN,REJECT_UNSAFE,debtor_account|creditor_account,discovery,0.38518844987236117,0.9100622377305558,0.3333333333333333,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:creditor_account; role conflict: debtor vs creditor; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,False
TN_0014,ISO20022.dbtr_acct,ISO20022.cdtr_acct,0.38518844987236117,debtor_account|creditor_account,Vetoes: account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:creditor_account; role conflict: debtor vs creditor | explicit negative pair hard veto,,,TN,REJECT_UNSAFE,debtor_account|creditor_account,production,0.38518844987236117,0.9100622377305558,0.3333333333333333,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:creditor_account; role conflict: debtor vs creditor; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,False
TN_0015,ISO20022.dbtr_acct,Plaid.account_number,0.2472463081560532,debtor_account|bank_account_number,Vetoes: account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number | account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number,,,TN,REJECT_UNSAFE,debtor_account|bank_account_number,discovery,0.2472463081560532,0.5159418328268187,0.3333333333333333,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number,,,False
TN_0016,ISO20022.dbtr_acct,Plaid.account_number,0.2472463081560532,debtor_account|bank_account_number,Vetoes: account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number | account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number,,,TN,REJECT_UNSAFE,debtor_account|bank_account_number,production,0.2472463081560532,0.5159418328268187,0.3333333333333333,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number,,,False
TN_0017,ISO20022.dbtr_acct,Plaid.account_type,0.24541780447746342,debtor_account|account_type,Vetoes: account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_type | account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_type,,,TN,REJECT_UNSAFE,debtor_account|account_type,discovery,0.24541780447746342,0.5107175366022765,0.3333333333333333,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_type,,,False
